,word,frequency
0,co,16678
1,https,16571
2,,7455
3,pennsylvania,4805
4,pasenate,4134
5,droz,3798
6,pasen,3787
7,johnfetterman,3374
8,papolitics,2919
9,fetterman,2911
10,que,2724
11,pa,2367
12,oz,2251
13,de,2147
14,fettermanforsenate,2087
15,vote,1960
16,voteredtosaveamerica2022,1859
17,amp,1748
18,via,1637
19,votered2022,1598
20,votefetterman,1443
21,voteblue,1440
22,la,1421
23,penncapitalstar,1383
24,senate,1237
25,new,1167
26,like,1153
27,people,1058
28,el,986
29,state,964
30,en,938
31,2022,919
32,gop,901
33,get,864
34,one,837
35,fettermanisthebetterman,825
36,los,821
37,dr,812
38,john,801
39,today,783
40,know,745
41,us,734
42,would,723
43,se,711
44,para,683
45,democrats,674
46,biden,659
47,want,646
48,trump,631
49,need,611
50,fettermanforpa,595
51,pahouse,573
52,por,569
53,un,569
54,committee,560
55,live,559
56,time,558
57,2,544
58,1,541
59,icymi,536
60,right,531
61,go,530
62,es,524
63,support,522
64,make,515
65,even,482
66,election,482
67,race,478
68,republican,473
69,lo,472
70,school,470
71,republicans,469
72,good,467
73,america,466
74,7,466
75,campaign,451
76,think,451
77,00,450
78,back,449
79,las,445
80,candidate,433
81,man,432
82,let,427
83,see,427
84,voting,420
85,con,418
86,reports,410
87,crime,398
88,cosas,395
89,10,392
90,going,390
91,3,390
92,work,387
93,high,386
94,philadelphia,383
95,pennsylvaniasenate,383
96,democrat,380
97,better,379
98,maga,377
99,never,376
100,bill,375
101,voters,374
102,governor,364
103,u,362
104,still,358
105,way,358
106,said,353
107,help,352
108,day,351
109,years,348
110,country,347
111,jersey,347
112,watch,346
113,could,346
114,una,340
115,take,339
116,money,338
117,much,337
118,4,334
119,q,332
120,party,332
121,say,332
122,also,330
123,every,324
124,6,323
125,pagov,320
126,really,318
127,vs,317
128,house,317
129,win,316
130,5,313
131,stop,311
132,real,311
133,pm,311
134,wants,310
135,first,309
136,guy,307
137,debate,304
138,black,304
139,please,304
140,papoli,294
141,care,294
142,del,293
143,great,292
144,votes,291
145,got,291
146,running,288
147,women,287
148,show,286
149,mehmet,285
150,primary,284
151,many,283
152,life,280
153,well,278
154,government,277
155,morning,277
156,public,273
157,senator,269
158,nothing,268
159,ya,268
160,needs,267
161,job,259
162,next,258
163,news,256
164,county,256
165,30,254
166,states,253
167,look,253
168,says,251
169,must,250
170,voteredtosaveamerica,249
171,office,248
172,kathy4truth,247
173,te,247
174,puppies,246
175,law,246
176,president,245
177,candidates,245
178,keep,244
179,car,244
180,health,244
181,home,243
182,dems,242
183,si,242
184,love,242
185,made,242
186,al,242
187,pero,241
188,pennsylvanians,241
189,meeting,238
190,democracy,236
191,sure,236
192,democratic,236
193,rights,235
194,football,235
195,thank,234
196,partners,234
197,big,234
198,education,233
199,yes,230
200,another,230
201,oil,228
202,working,226
203,may,226
204,last,225
205,year,225
206,best,224
207,washington,224
208,page,224
209,22,224
210,hitler,223
211,read,222
212,pittsburgh,222
213,pa2022,220
214,meets,218
215,tax,218
216,potus,217
217,american,216
218,más,214
219,commentary,212
220,como,212
221,mi,211
222,pabudget,211
223,voteoz,209
224,abortion,206
225,come,205
226,philly,205
227,bad,204
228,give,204
229,hearing,202
230,gov,201
231,inflation,201
232,fraud,201
233,run,201
234,9,201
235,two,200
236,done,199
237,november,199
238,anyone,198
239,hope,198
240,lives,198
241,gas,197
242,call,197
243,someone,197
244,always,196
245,ever,196
246,long,194
247,appropriations,194
248,believe,193
249,le,191
250,ad,190
251,left,190
252,voted,188
253,estas,188
254,voteblue2022,188
255,blue,188
256,family,187
257,enough,186
258,reporter,185
259,pay,185
260,lies,184
261,week,184
262,8,182
263,votered,181
264,tell,180
265,oct,180
266,person,179
267,000,178
268,pagop,178
269,joebiden,178
270,anything,177
271,su,177
272,children,176
273,oh,176
274,getting,176
275,taxes,175
276,americans,174
277,marley_parish,174
278,actually,174
279,votebluein2022,173
280,hard,172
281,put,171
282,use,170
283,choice,170
284,away,169
285,trying,169
286,since,168
287,11,168
288,votebluetosavedemocracy,168
289,funder,167
290,save,165
291,already,165
292,social,165
293,everyone,164
294,papol,164
295,political,164
296,thing,164
297,mccormick,164
298,commonwealth,163
299,california,162
300,ready,162
301,white,162
302,report,162
303,thanks,162
304,les,161
305,gun,161
306,wolf,161
307,joe,161
308,mastriano,160
309,police,160
310,fake,160
311,ballot,159
312,opinion,158
313,point,158
314,red,158
315,yet,157
316,nj,156
317,million,156
318,parents,156
319,schools,155
320,policies,155
321,stephenj_caruso,154
322,donnabrazile,154
323,stroke,153
324,funding,153
325,grocerieswegner,152
326,control,152
327,federal,152
328,change,151
329,lt,151
330,front,151
331,votebluetosaveamerica,150
332,son,149
333,doctor,149
334,follow,149
335,world,149
336,foxnews,148
337,12,148
338,kids,148
339,hey,148
340,cuando,147
341,joshshapiropa,147
342,power,147
343,𝔏𝔦𝔳𝔢ᴴᴰ,146
344,things,146
345,sawyerhackett,145
346,nazi,145
347,snake,145
348,video,145
349,free,144
350,end,144
351,midterms,143
352,midterms2022,143
353,20,143
354,security,143
355,check,143
356,años,142
357,barnette,142
358,yo,142
359,writes,141
360,old,141
361,maybe,140
362,día,140
363,true,139
364,court,138
365,issues,138
366,politics,138
367,seat,138
368,days,137
369,energy,137
370,giselefetterman,137
371,policy,136
372,calendar,136
373,talking,135
374,spending,135
375,dem,135
376,future,134
377,wordsby_cassiem,134
378,union,134
379,jobs,134
380,usa,134
381,city,133
382,bien,133
383,knows,133
384,open,133
385,fact,132
386,history,132
387,local,132
388,act,132
389,far,132
390,medical,131
391,turkey,131
392,killing,131
393,wrong,131
394,full,131
395,budget,130
396,coming,130
397,media,129
398,días,129
399,record,129
400,todo,128
401,georgia,128
402,𝐅𝐔𝐋𝐋,128
403,𝐋𝐈𝐕𝐄,128
404,business,128
405,general,128
406,gets,128
407,plan,128
408,ohio,127
409,making,127
410,little,127
411,mean,127
412,florida,127
413,border,127
414,lol,127
415,part,126
416,problem,126
417,agenda,126
418,something,125
419,sus,125
420,puppy,125
421,mayor,125
422,quack,124
423,byronyork,124
424,lot,124
425,tv,124
426,criminals,124
427,kathy,124
428,hearings,124
429,dogs,123
430,hay,123
431,fight,123
432,gt,122
433,talk,122
434,top,122
435,elected,122
436,racist,122
437,tweet,122
438,elections,121
439,shapiro,121
440,continue,121
441,session,120
442,wait,120
443,team,120
444,community,120
445,hate,119
446,ser,119
447,coffee,119
448,everything,119
449,2020,119
450,regular,119
451,economy,119
452,national,119
453,saying,119
454,w,118
455,protect,118
456,used,118
457,human,118
458,lying,118
459,todos,118
460,100,117
461,porque,117
462,pataverns,116
463,pro,116
464,might,116
465,election2022,116
466,floor,116
467,parestaurants,115
468,god,115
469,york,115
470,literally,115
471,reason,115
472,legislation,114
473,around,114
474,marijuana,114
475,covid19,114
476,night,113
477,looks,113
478,lie,113
479,r,113
480,hold,113
481,prison,113
482,past,112
483,prices,112
484,workers,112
485,twitter,112
486,remember,111
487,governortomwolf,111
488,stand,111
489,congress,111
490,15,111
491,killed,111
492,phillytrib,111
493,link,111
494,without,111
495,issue,110
496,lose,110
497,fascist,110
498,hear,110
499,texas,110
500,cannot,109
501,killer,109
502,try,108
503,nation,108
504,game,108
505,polls,108
506,nypost,108
507,voter,107
508,shit,107
509,cult,106
510,turkish,106
511,class,106
512,millions,106
513,voterepublican,106
514,ver,106
515,50,106
516,worse,105
517,mail,105
518,p,105
519,laws,105
520,students,105
521,2021,105
522,democratsaredestroyingamerica,105
523,sin,105
524,joncoopertweets,105
525,dog,104
526,photo,104
527,find,104
528,least,104
529,friday,104
530,truth,104
531,rich,104
532,friends,103
533,democratsaretheproblem,103
534,capital,103
535,este,103
536,f,102
537,lead,102
538,living,102
539,walker,102
540,question,102
541,name,101
542,liar,101
543,seen,101
544,makes,101
545,either,100
546,anti,100
547,deserve,100
548,violence,99
549,matter,99
550,university,99
551,second,99
552,district,99
553,nathanbrandwa,98
554,ads,98
555,send,98
556,fettermanpa,98
557,join,98
558,ask,98
559,nos,98
560,stream,97
561,supports,97
562,esta,97
563,taking,97
564,hoy,97
565,instead,96
566,06,96
567,trust,96
568,less,96
569,padems,96
570,though,96
571,nhpolitics,95
572,harrisburg,95
573,looking,95
574,wisconsin,95
575,quiero,94
576,kill,94
577,across,94
578,rep,94
579,nada,94
580,citizens,94
581,questions,94
582,post,94
583,called,94
584,represent,93
585,release,93
586,else,93
587,lamb,93
588,muy,93
589,shows,93
590,including,93
591,solo,93
592,communities,93
593,hell,93
594,yeah,93
595,paid,92
596,así,92
597,line,92
598,arizona,92
599,together,92
600,speech,92
601,become,92
602,murder,92
603,ni,92
604,races,91
605,ok,91
606,united,91
607,criminal,91
608,covid,91
609,event,91
610,woman,91
611,found,91
612,davemccormickpa,90
613,kathybarnette,90
614,clear,90
615,gente,90
616,attention,90
617,happen,90
618,elect,90
619,fund,89
620,food,89
621,information,89
622,men,89
623,leaders,89
624,dude,89
625,qué,89
626,ban,89
627,robreiner,88
628,poll,88
629,speak,88
630,mmpadellan,88
631,site,88
632,stay,88
633,weekend,88
634,ago,87
635,dysonc,87
636,liberal,87
637,seems,87
638,october,87
639,close,87
640,exactly,87
641,folks,86
642,votethemallout2022,86
643,low,86
644,fjb,86
645,majority,86
646,paying,86
647,feel,86
648,administration,86
649,gonna,86
650,ballots,86
651,museum,85
652,poor,85
653,lawmakers,85
654,understand,85
655,thought,85
656,board,85
657,warnock,85
658,student,85
659,lived,85
660,thinks,85
661,e,84
662,pandemic,84
663,radical,84
664,bring,84
665,lost,84
666,eso,84
667,rncresearch,84
668,doug,84
669,da,84
670,worst,84
671,favor,83
672,place,83
673,start,83
674,members,83
675,families,83
676,voteblueforsomanyreasons,83
677,c,83
678,kylaintheburgh,83
679,worked,83
680,justice,82
681,conservative,82
682,legal,82
683,higher,82
684,está,82
685,drugs,82
686,proud,82
687,endorsed,82
688,25,82
689,spent,81
690,learn,81
691,officials,81
692,pretty,81
693,important,81
694,freedom,81
695,half,81
696,small,81
697,0,81
698,former,81
699,conorlambpa,81
700,posted,80
701,system,80
702,agree,80
703,wow,79
704,raise,79
705,absolutely,79
706,chance,79
707,tuesday,79
708,action,79
709,answer,79
710,restaurants,78
711,ohpol,78
712,tonight,78
713,dangerous,78
714,month,78
715,special,78
716,happy,78
717,serious,78
718,commission,78
719,behind,78
720,passed,77
721,kind,77
722,war,77
723,mejor,77
724,single,77
725,17,77
726,sen,77
727,guess,77
728,rally,77
729,story,77
730,meet,77
731,times,76
732,held,76
733,bills,76
734,soon,76
735,sad,76
736,dollars,76
737,calls,76
738,taverns,76
739,infrastructure,76
740,esto,76
741,dougmastriano,76
